RV,SENTIMENT_tweet,Polarity,SADNESS_tweet,JOY_tweet,FEAR_tweet,DISGUST_tweet,ANGER_tweet
Slightly Acceptable,0,3,0.588,0.179498,0.048499,0.332592,0.016722
Acceptable,0.649989,5,0.455045,0.296954,0.079804,0.272527,0.001541
Slightly Acceptable,0,3,0.101362,0.500638,0.151761,0.285147,0.085258
Unacceptable,-0.957266,1,0.336858,0.082909,0.02415,0.648878,0.040628
Unacceptable,-0.936364,1,0.232796,0.059697,0.029187,0.459603,0.536425
Acceptable,0.94617,5,0.051909,0.817516,0.02636,0.111148,0.015691
Acceptable,0.540295,5,0.168862,0.683112,0.005441,0.037681,0.113858
Acceptable,0.861685,5,0.123122,0.29471,0.127163,0.566336,0.028296
Slightly Acceptable,0.296777,4,0.006401,0.607615,0.003033,0.005874,0.000224
Slightly Acceptable,0,3,0.619064,0.039246,0.093768,0.311221,0.228588
Unacceptable,-0.767387,1,0.703329,0.040391,0.11097,0.197797,0.221387
Slightly Acceptable,0,3,0.001001,0.215666,0.065834,0.64559,0.027345
Unacceptable,-0.606808,1,0.773886,0.046973,0.199131,0.119507,0.106036
Unacceptable,-0.882846,1,0.385853,0.056102,0.105964,0.383501,0.41121
Slightly Acceptable,0,3,0.325535,0.293319,0.106014,0.373356,0.080607
Slightly Acceptable,0,3,0.396999,0.119888,0.2639,0.315778,0.11908
Unacceptable,-0.836455,1,0.14465,0.454141,0.03436,0.085145,0.18467
Slightly Unacceptable,-0.447517,2,0.521035,0.08519,0.087755,0.274627,0.258414
Slightly Acceptable,0.492571,5,0.374999,0.518364,0.028213,0.032062,0.02752
Slightly Acceptable,0,3,0.137853,0.191589,0.05763,0.283146,0.08865
Slightly Unacceptable,-0.422441,2,0.198269,0.103229,0.056219,0.137409,0.114502
Acceptable,0.714199,5,0.130475,0.36395,0.058928,0.101963,0.083383
Acceptable,0.769561,5,0.138674,0.47585,0.093288,0.1268,0.019357
Slightly Unacceptable,-0.316277,2,0.247241,0.480275,0.114285,0.184896,0.088428
Acceptable,0.997836,5,0.05744,0.60487,0.025118,0.246904,0.059876
Unacceptable,-0.782838,1,0.185701,0.04846,0.055045,0.199815,0.364583
Unacceptable,-0.735568,1,0.499151,0.018442,0.225552,0.065074,0.174085
Unacceptable,-0.747571,1,0.765755,0.019866,0.059574,0.317968,0.122486
Unacceptable,-0.811106,1,0.591174,0.047994,0.02888,0.23089,0.394033
Slightly Acceptable,0,3,0.263644,0.097474,0.12456,0.567678,0.049609
Slightly Acceptable,0,3,0.243564,0.232029,0.217017,0.282584,0.209315
Acceptable,0.88342,5,0.025214,0.936041,0.011044,0.020005,0.000814
Unacceptable,-0.817594,1,0.715826,0.077641,0.076127,0.323959,0.013338
Unacceptable,-0.858908,1,0.379807,0.016074,0.337238,0.181616,0.47844
Unacceptable,-0.944481,1,0.31358,0.021367,0.398583,0.481651,0.168848
Acceptable,0.870554,5,0.066613,0.497057,0.029345,0.408701,0.094942
Acceptable,0.894548,5,0.245368,0.491809,0.079642,0.230848,0.032442
Acceptable,0.898455,5,0.005331,0.676692,0.001729,0.042324,0.017926
Slightly Acceptable,0,3,0.286058,0.525635,0.098735,0.089325,0.048121
Acceptable,0.978817,5,0.201218,0.739165,0.010233,0.021655,0.042891
Acceptable,0.861789,5,0.303553,0.255342,0.02523,0.493296,0.024237
Unacceptable,-0.892406,1,0.240476,0.100865,0.064058,0.533116,0.066078
Unacceptable,-0.806802,1,0.225993,0.152567,0.045049,0.447167,0.404374
Slightly Acceptable,0,3,0.475545,0.097126,0.019508,0.564497,0.031857
Unacceptable,-0.528417,1,0.502488,0.036362,0.016088,0.396762,0.301326
Unacceptable,-0.990726,1,0.820064,0.027406,0.143251,0.106693,0.161598
Acceptable,0.580716,5,0.02504,0.41816,0.176232,0.079458,0.06405
Slightly Acceptable,0,3,0.187126,0.369108,0.080339,0.144189,0.120496
Unacceptable,-0.505198,1,0.30397,0.103174,0.103105,0.062853,0.607397
Unacceptable,-0.874328,1,0.232796,0.059697,0.029187,0.459603,0.536425
Acceptable,0.92332,5,0.246786,0.052391,0.034666,0.707679,0.186765
Acceptable,0.789605,5,0.260563,0.525394,0.038568,0.089765,0.038864
Slightly Unacceptable,-0.344353,2,0.248946,0.177728,0.101791,0.176254,0.169308
Unacceptable,-0.982387,1,0.259134,0.007016,0.052686,0.769357,0.217095
Slightly Acceptable,0.32242,4,0.535593,0.222933,0.270755,0.055628,0.088479
Unacceptable,-0.773477,1,0.129099,0.06417,0.108272,0.086225,0.14502
Unacceptable,-0.681035,1,0.631137,0.078022,0.27609,0.209132,0.055287
Acceptable,0.777397,5,0.160967,0.582049,0.028843,0.256262,0.050533
Slightly Unacceptable,-0.249897,2,0.36288,0.085303,0.136512,0.413228,0.340824
Unacceptable,-0.779088,1,0.094309,0.06298,0.04103,0.244918,0.084015
Unacceptable,-0.959078,1,0.057957,0.007989,0.909728,0.043495,0.039577
Slightly Unacceptable,-0.482308,1,0.188444,0.071742,0.124972,0.141535,0.19525
Unacceptable,-0.970421,1,0.291707,0.019873,0.060399,0.301028,0.653078
Slightly Unacceptable,-0.494408,1,0.287005,0.320669,0.112061,0.364443,0.037755
Unacceptable,-0.777856,1,0.082054,0.067512,0.025513,0.252976,0.296914
Slightly Acceptable,0,3,0.178366,0.37273,0.041794,0.382174,0.132566
Unacceptable,-0.947378,1,0.358187,0.184168,0.03806,0.417646,0.213924
Unacceptable,-0.697577,1,0.629615,0.075394,0.18454,0.082381,0.107498
Slightly Unacceptable,-0.360378,2,0.13597,0.368411,0.083094,0.228394,0.313773
Acceptable,0.577634,5,0.125575,0.426276,0.044067,0.114546,0.03053
Acceptable,0.762938,5,0.143964,0.531532,0.045532,0.027106,0.062977
Unacceptable,-0.733448,1,0.302806,0.470626,0.0932,0.168448,0.033827
Slightly Unacceptable,-0.217662,2,0.459377,0.08691,0.157135,0.050832,0.408909
Slightly Acceptable,0,3,0.334349,0.097634,0.173532,0.206254,0.405146
Slightly Unacceptable,-0.490458,1,0.272278,0.651996,0.060615,0.032947,0.01509
Unacceptable,-0.912531,1,0.808944,0.046698,0.125836,0.187772,0.012277
Slightly Unacceptable,-0.455092,1,0.305476,0.100574,0.025206,0.282939,0.135879
Unacceptable,-0.906635,1,0.716398,0.111933,0.129721,0.091249,0.081141
Unacceptable,-0.902053,1,0.268978,0.463692,0.050722,0.105013,0.204152
Unacceptable,-0.956632,1,0.195179,0.279342,0.034237,0.34347,0.347343
Unacceptable,-0.926752,1,0.437128,0.062131,0.077276,0.566658,0.131182
Unacceptable,-0.64537,1,0.54409,0.033308,0.084629,0.365703,0.180068
Slightly Acceptable,0,3,0.659458,0.013032,0.125488,0.077898,0.04847
Acceptable,0.972889,5,0.014062,0.268239,0.007225,0.011132,0.020609
Unacceptable,-0.757473,1,0.219397,0.148168,0.044007,0.453641,0.410129
Unacceptable,-0.989504,1,0.348773,0.469351,0.059398,0.20369,0.020383
Unacceptable,-0.610944,1,0.448505,0.085951,0.15605,0.463994,0.152385
Acceptable,0.779789,5,0.049227,0.64678,0.02938,0.293242,0.00664
Acceptable,0.534152,5,0.476206,0.585552,0.111226,0.06699,0.135217
Unacceptable,-0.79806,1,0.576536,0.009134,0.077391,0.23236,0.430946
Unacceptable,-0.505837,1,0.254172,0.392295,0.178497,0.12578,0.084761
Unacceptable,-0.682244,1,0.400268,0.054351,0.275,0.355395,0.290079
Unacceptable,-0.535271,1,0.598021,0.028787,0.068791,0.131817,0.48126
Slightly Unacceptable,-0.421604,2,0.695517,0.241572,0.021405,0.050043,0.059939
Unacceptable,-0.769381,1,0.450169,0.209096,0.127958,0.107738,0.263037
Slightly Acceptable,0,3,0.504202,0.028218,0.040263,0.269577,0.148235
Unacceptable,-0.742451,1,0.527552,0.090863,0.123101,0.255214,0.072184
Slightly Acceptable,0,3,0.187082,0.435942,0.06222,0.249305,0.056463
Slightly Acceptable,0,3,0.427078,0.048897,0.26293,0.064236,0.186612
Slightly Acceptable,0,3,0.476751,0.11808,0.112951,0.342385,0.225459
Slightly Acceptable,0,3,0.151042,0.135214,0.152857,0.029326,0.023395
Acceptable,0.784573,5,0,0,0,0,0
Slightly Acceptable,0.446481,4,0.396555,0.103022,0.13907,0.165247,0.362802
Unacceptable,-0.666162,1,0.399411,0.428974,0.094089,0.107883,0.096427
Unacceptable,-0.818566,1,0.291251,0.025395,0.231532,0.322426,0.395881
Unacceptable,-0.692554,1,0.643409,0.014576,0.095571,0.26397,0.325839
Unacceptable,-0.849827,1,0.677001,0.056421,0.075286,0.224623,0.230214
Unacceptable,-0.783309,1,0.22201,0.002486,0.076543,0.551708,0.522957
Unacceptable,-0.86245,1,0.692245,0.078284,0.165394,0.197956,0.090704
Slightly Unacceptable,-0.455559,1,0.446545,0.379593,0.084656,0.122501,0.075161
Unacceptable,-0.855689,1,0.518717,0.003168,0.258555,0.354267,0.260837
Unacceptable,-0.630999,1,0.56142,0.054249,0.368384,0.197881,0.106526
Unacceptable,-0.616404,1,0.442431,0.368123,0.069579,0.03856,0.10583
Unacceptable,-0.626595,1,0.486436,0.048905,0.065943,0.232335,0.390008
Slightly Unacceptable,-0.455092,1,0.305476,0.100574,0.025206,0.282939,0.135879
Unacceptable,-0.54793,1,0.034263,0.895273,0.012359,0.000895,0.027175
Unacceptable,-0.935393,1,0.408768,0.005044,0.065004,0.135663,0.652188
Unacceptable,-0.952663,1,0.081193,0.009925,0.163379,0.800921,0.241802
Unacceptable,-0.54793,1,0.034263,0.895273,0.012359,0.000895,0.027175
Unacceptable,-0.943408,1,0.447422,0.08034,0.05911,0.43141,0.210846
Slightly Acceptable,0,3,0.117621,0.271483,0.055224,0.039448,0.052057
Unacceptable,-0.837353,1,0.164997,0.011424,0.066677,0.629398,0.467308
Unacceptable,-0.704404,1,0.582193,0.122908,0.179422,0.260065,0.186481
Acceptable,0.85972,5,0.169032,0.68765,0.13107,0.011747,0.034644
Acceptable,0.624087,5,0.241084,0.341179,0.042104,0.293412,0.216606
Unacceptable,-0.78905,1,0.505936,0.020303,0.562839,0.115709,0.067278
Unacceptable,-0.756448,1,0.494783,0.466384,0.030938,0.021943,0.00231
Unacceptable,-0.998088,1,0.285623,0.027116,0.194545,0.663438,0.170376
Slightly Acceptable,0.272763,3,0.297141,0.31225,0.283906,0.238438,0.037253
Unacceptable,-0.935785,1,0.673179,0.064772,0.188889,0.116567,0.131161
Acceptable,0.939931,5,0.075088,0.7508,0.004545,0.178121,0.030497
Acceptable,0.525025,5,0.20028,0.514224,0.04574,0.218849,0.102739
Acceptable,0.74353,3,0.351244,0.36341,0.076297,0.202636,0.068396
Unacceptable,-0.817058,1,0.102473,0.472138,0.037805,0.166061,0.33225
Unacceptable,-0.863364,1,0.322528,0.039631,0.34643,0.107218,0.459291
Unacceptable,-0.984058,1,0.157148,0.094456,0.040103,0.543815,0.207699
Unacceptable,-0.79697,1,0.534398,0.079745,0.170731,0.346346,0.096685
Unacceptable,-0.813693,1,0.056127,0.027152,0.750986,0.025163,0.087087
Acceptable,0.68321,5,0.398369,0.307493,0.053614,0.304512,0.064849
Unacceptable,-0.917771,1,0.437399,0.062556,0.066931,0.490394,0.237138
Slightly Acceptable,0.331985,4,0.201763,0.664302,0.11984,0.457393,0.138053
Unacceptable,-0.980046,1,0.249413,0.183984,0.030566,0.50254,0.176052
Unacceptable,-0.779031,1,0.204944,0.026604,0.049186,0.510378,0.512349
Slightly Acceptable,0,3,0.076239,0.071212,0.025494,0.562946,0.060475
Acceptable,0.801752,5,0.356169,0.351163,0.108801,0.086198,0.051496
Slightly Acceptable,0,3,0.406356,0.031066,0.053983,0.362565,0.472104
Unacceptable,-0.82571,1,0.651646,0.071692,0.070345,0.20033,0.181911
Slightly Acceptable,0,3,0.545051,0.277498,0.113573,0.046386,0.174571
Unacceptable,-0.592343,1,0.573866,0.376085,0.03963,0.024757,0.003712
Slightly Acceptable,0,3,0.187053,0.015606,0.561283,0.259376,0.122626
Unacceptable,-0.747907,1,0.521356,0.054089,0.091671,0.073948,0.089539
Unacceptable,-0.820182,1,0.261532,0.153454,0.147382,0.078794,0.153047
Acceptable,0.671947,5,0.043538,0.28301,0.005869,0.396041,0.463357
Slightly Unacceptable,-0.400771,2,0.054304,0.050718,0.021986,0.322773,0.072063
Unacceptable,-0.689792,1,0.326132,0.017062,0.211479,0.08064,0.490327
Unacceptable,-0.610366,1,0.364235,0.35445,0.108063,0.152233,0.034728
Unacceptable,-0.500353,1,0.627782,0.004001,0.066115,0.233802,0.40407
Unacceptable,-0.790878,1,0.487554,0.212994,0.199984,0.180111,0.055877
Slightly Unacceptable,-0.421195,2,0.810097,0.025036,0.073853,0.057242,0.154127
Slightly Unacceptable,-0.412829,2,0.333269,0.220422,0.037776,0.544962,0.009128
Slightly Unacceptable,-0.370212,2,0.310645,0.174477,0.036729,0.543575,0.124343
Unacceptable,-0.806871,1,0.385161,0.07014,0.154454,0.267252,0.101469
Unacceptable,-0.739978,1,0.48978,0.194613,0.066956,0.347072,0.114554
Slightly Unacceptable,-0.41265,2,0.535398,0.03272,0.057273,0.366437,0.324067
Slightly Unacceptable,-0.464614,1,0.258297,0.314483,0.104779,0.281222,0.253882
Acceptable,0.54677,5,0.243201,0.416442,0.033246,0.322271,0.089559
Acceptable,0.789605,5,0.260563,0.525394,0.038568,0.089765,0.038864
Slightly Acceptable,0,3,0.463455,0.02889,0.156756,0.298698,0.41917
Unacceptable,-0.92477,1,0.492931,0.309988,0.127056,0.075832,0.185868
Unacceptable,-0.942932,1,0.20718,0.057817,0.031756,0.397201,0.611445
Acceptable,0.960014,5,0.028957,0.869088,0.021119,0.009697,0.021874
Unacceptable,-0.962285,1,0.274951,0.011149,0.032211,0.649706,0.323983
Acceptable,0.854165,5,0.11823,0.75387,0.013684,0.110189,0.037705
Slightly Acceptable,0,3,0.270709,0.020628,0.647287,0.297794,0.082792
Slightly Unacceptable,-0.381383,2,0.114041,0.356245,0.357853,0.200291,0.036175
Unacceptable,-0.880827,1,0.649247,0.096079,0.171486,0.178027,0.143308
Unacceptable,-0.802364,1,0.255625,0.249347,0.068281,0.155663,0.472165
Unacceptable,-0.65986,1,0.326818,0.0095,0.046813,0.656568,0.296484
Unacceptable,-0.838505,1,0.103541,0.005583,0.056476,0.304405,0.811452
Unacceptable,-0.897133,1,0.619702,0.178566,0.159416,0.039619,0.089819
Unacceptable,-0.95804,1,0.434493,0.019784,0.545173,0.149479,0.136229
Unacceptable,-0.954171,1,0.46743,0.108221,0.027836,0.418967,0.25118
Slightly Acceptable,0.24646,4,0.055907,0.672906,0.063296,0.189739,0.042719
Slightly Acceptable,0,3,0.411796,0.383808,0.013359,0.277162,0.012628
Unacceptable,-0.998688,1,0.125891,0.003327,0.076049,0.315496,0.783888
Unacceptable,-0.848848,1,0.292849,0.017862,0.010023,0.454455,0.551814
Unacceptable,-0.634165,1,0.303047,0.056763,0.411403,0.0888,0.37138
Unacceptable,-0.997786,1,0.235908,0.403745,0.168397,0.219102,0.035044
Unacceptable,-0.51648,1,0.029663,0.236617,0.025156,0.148377,0.075071
Unacceptable,-0.761432,1,0.219397,0.148168,0.044007,0.453641,0.410129
Unacceptable,-0.860693,1,0.553358,0.013659,0.264211,0.102983,0.422239
Acceptable,0.734457,5,0.09363,0.503681,0.031365,0.097149,0.112141
Slightly Unacceptable,-0.326617,2,0.109609,0.130879,0.144547,0.260135,0.652601
Unacceptable,-0.848026,1,0.18595,0.032915,0.098342,0.372852,0.544395
Acceptable,0.803629,5,0.102076,0.831511,0.008768,0.015141,0.048405
Unacceptable,-0.986306,1,0.246242,0.044838,0.149961,0.303914,0.570873
Unacceptable,-0.817696,1,0.212754,0.294877,0.058418,0.142822,0.194853
Unacceptable,-0.966748,1,0.128481,0.009176,0.051234,0.439388,0.634294
Unacceptable,-0.821189,1,0.616895,0.022622,0.106686,0.189437,0.359847
Unacceptable,-0.718687,1,0.260121,0.016055,0.055106,0.363513,0.643113
Acceptable,0.781614,5,0.083174,0.784757,0.011807,0.118231,0.028354
Slightly Unacceptable,-0.354005,2,0.276779,0.319838,0.058162,0.29168,0.22632
Slightly Unacceptable,-0.466018,1,0.668708,0.071978,0.141793,0.135981,0.443608
Unacceptable,-0.972009,1,0.225465,0.107612,0.057671,0.584314,0.332772
Unacceptable,-0.776069,1,0.388559,0.010289,0.062978,0.479891,0.323655
Acceptable,0.909573,5,0.216208,0.506644,0.017354,0.138717,0.076005
Slightly Unacceptable,-0.304702,2,0.180095,0.011886,0.053743,0.525541,0.584432
Slightly Acceptable,0.451531,4,0.353652,0.179911,0.016039,0.578698,0.040638
Unacceptable,-0.7806,1,0.295672,0.020401,0.518924,0.254885,0.072805
Acceptable,0.512991,5,0.066994,0.54562,0.065983,0.110436,0.302023
Slightly Unacceptable,-0.492122,1,0.223441,0.260368,0.297639,0.297766,0.056238
Unacceptable,-0.743595,1,0.651646,0.071692,0.070345,0.20033,0.181911
Unacceptable,-0.887074,1,0.404824,0.054132,0.106417,0.321227,0.354339
Slightly Acceptable,0,3,0.220485,0.273462,0.074925,0.152703,0.074137
Slightly Acceptable,0,3,0.066613,0.497057,0.029345,0.108701,0.094942
Slightly Acceptable,0,3,0.374504,0.34886,0.109367,0.197979,0.127219
Unacceptable,-0.637244,1,0.760487,0.083982,0.06036,0.217002,0.024187
Unacceptable,-0.89679,1,0.57542,0.021525,0.52131,0.367946,0.325125
Unacceptable,-0.79697,1,0.534398,0.079745,0.170731,0.346346,0.096685
Unacceptable,-0.529373,1,0.267096,0.274367,0.092297,0.266005,0.201444
Acceptable,0.85972,5,0.215778,0.642156,0.139056,0.014318,0.030004
Slightly Acceptable,0,3,0.241921,0.343809,0.017824,0.530035,0.004049
Slightly Acceptable,0,3,0.241141,0.047612,0.090723,0.512266,0.434026
Slightly Acceptable,0,3,0.545051,0.277498,0.113573,0.046386,0.174571
Unacceptable,-0.929684,1,0.088569,0.010975,0.066735,0.642187,0.513418
Acceptable,0.957559,5,0.030936,0.904526,0.007415,0.007795,0.021101
Slightly Unacceptable,-0.323608,2,0.490965,0.360379,0.057314,0.056998,0.130469
Unacceptable,-0.904991,1,0.341328,0.045895,0.337022,0.376384,0.12939
Unacceptable,-0.983389,1,0.109842,0.006967,0.744267,0.292234,0.189388
Acceptable,0.530062,5,0.173861,0.639309,0.012501,0.041348,0.137692
Acceptable,0.764104,5,0.093901,0.538254,0.055921,0.208948,0.165075
Unacceptable,-0.873096,1,0.234834,0.019411,0.637744,0.150391,0.25756
Unacceptable,-0.785374,1,0.487554,0.212994,0.199984,0.180111,0.055877
Unacceptable,-0.64537,1,0.54409,0.033308,0.084629,0.365703,0.180068
Acceptable,0.859109,5,0.050172,0.591397,0.037308,0.11869,0.072527
Slightly Acceptable,0,3,0.271245,0.358877,0.102285,0.290192,0.059839
Unacceptable,-0.939256,1,0.366758,0.008521,0.362447,0.122749,0.510036
Slightly Acceptable,0.356545,4,0.418517,0.208518,0.054039,0.111967,0.391385
Unacceptable,-0.75587,1,0.620443,0.006054,0.182752,0.333926,0.137869
Acceptable,0.887037,5,0.045098,0.875242,0.022296,0.063083,0.007819
Acceptable,0.978817,5,0.201218,0.739165,0.010233,0.021655,0.042891
Unacceptable,-0.912148,1,0.167116,0.110625,0.073007,0.302241,0.573225
Acceptable,0.564731,5,0.301228,0.203981,0.044253,0.137054,0.540042
Unacceptable,-0.523478,1,0.810015,0.018008,0.100286,0.228588,0.099572
Slightly Acceptable,0,3,0.101399,0.170466,0.052192,0.194417,0.083111
Unacceptable,-0.821679,1,0.285052,0.106085,0.101716,0.20558,0.121289
Unacceptable,-0.590547,1,0.141312,0.379407,0.110302,0.376133,0.128298
Unacceptable,-0.933038,1,0.820064,0.027406,0.143251,0.106693,0.161598
Unacceptable,-0.6395,1,0.255731,0.18416,0.044477,0.574983,0.124531
Slightly Acceptable,0,3,0.339336,0.197053,0.061816,0.257844,0.056871
Acceptable,0.858064,5,0.028771,0.730238,0.099855,0.119153,0.017847
Unacceptable,-0.985592,1,0.467048,0.064642,0.249689,0.171212,0.384572
Unacceptable,-0.985592,1,0.467048,0.064642,0.249689,0.171212,0.384572
Unacceptable,-0.782583,1,0.620443,0.006054,0.182752,0.333926,0.137869
Unacceptable,-0.943073,1,0.244426,0.096535,0.067134,0.584826,0.32348
Unacceptable,-0.638249,1,0.208936,0.065043,0.30213,0.352862,0.177114
Unacceptable,-0.733448,1,0.302806,0.470626,0.0932,0.168448,0.033827
Unacceptable,-0.792446,1,0.342844,0.405097,0.256169,0.031485,0.046818
Unacceptable,-0.594899,1,0.238313,0.086894,0.055136,0.7203,0.120853
Unacceptable,-0.751811,1,0.548256,0.049045,0.164012,0.275286,0.208432
Slightly Acceptable,0,3,0.121509,0.005427,0.066642,0.484466,0.652576
Slightly Acceptable,0.440636,4,0.083946,0.143675,0.044471,0.510685,0.094332
Slightly Acceptable,0.470114,5,0.252413,0.104904,0.291778,0.504799,0.151725
Slightly Acceptable,0,3,0.256168,0.5442,0.018773,0.156821,0.057436
Slightly Acceptable,0.754971,3,0.221634,0.59742,0.050502,0.07516,0.032987
Slightly Acceptable,0,3,0.306009,0.112254,0.088165,0.592966,0.14479
Unacceptable,-0.968127,1,0.112816,0.008305,0.092862,0.354926,0.734537
Unacceptable,-0.579797,1,0.330432,0.07287,0.063042,0.32005,0.526144
Slightly Unacceptable,-0.460177,1,0.318943,0.335401,0.070176,0.102866,0.178218
Unacceptable,-0.546704,1,0.56703,0.079674,0.022985,0.441201,0.121325
Slightly Acceptable,0,3,0.270096,0.155434,0.062415,0.509114,0.178377
Unacceptable,-0.683004,1,0.358187,0.184168,0.03806,0.417646,0.213924
Slightly Acceptable,0,3,0.230651,0.122337,0.118235,0.21337,0.377623
Unacceptable,-0.926998,1,0.375649,0.054745,0.09659,0.289945,0.474152
Unacceptable,-0.816136,1,0.186182,0.010532,0.076096,0.447861,0.635191
Unacceptable,-0.859106,1,0.219055,0.032139,0.123717,0.046931,0.231409
Unacceptable,-0.890807,1,0.620275,0.016022,0.43384,0.184807,0.077919
Slightly Unacceptable,-0.425574,2,0.142618,0.306276,0.008263,0.224911,0.125436
Unacceptable,-0.771423,1,0.502533,0.028053,0.042755,0.151017,0.584449
Unacceptable,-0.823629,1,0.366498,0.05165,0.111266,0.130862,0.639279
Slightly Acceptable,0,3,0.376018,0.092569,0.040463,0.315299,0.262068
Unacceptable,-0.766124,3,0.291591,0.170975,0.104766,0.231276,0.396377
Slightly Acceptable,0.456833,4,0.313555,0.190421,0.10766,0.180895,0.085239
Unacceptable,-0.847162,1,0.098265,0.303393,0.060654,0.086294,0.05986
Slightly Acceptable,0,3,0.26662,0.029838,0.250069,0.411411,0.307881
Acceptable,0.560394,5,0.528665,0.339119,0.03436,0.035713,0.045387
Slightly Acceptable,0,3,0.07779,0.629724,0.050963,0.084369,0.044044
Unacceptable,-0.59425,1,0.247041,0.100053,0.114642,0.558537,0.249943
Slightly Unacceptable,-0.288519,2,0.456456,0.103791,0.149447,0.430626,0.166024
Slightly Acceptable,0,3,0.085395,0.615812,0.173456,0.04706,0.038503
Slightly Acceptable,0,3,0.148831,0.179551,0.091248,0.074744,0.088473
Slightly Acceptable,0,3,0.127489,0.560246,0.051566,0.278989,0.09042
Slightly Acceptable,0.476609,5,0.301636,0.134023,0.037681,0.115095,0.641449
Acceptable,0.85972,5,0.215778,0.642156,0.139056,0.014318,0.030004
Slightly Acceptable,0.321578,4,0.45222,0.113056,0.292588,0.371252,0.064084
Slightly Acceptable,0,3,0.310239,0.327954,0.021014,0.068935,0.038662
Unacceptable,-0.803543,1,0.509703,0.033024,0.069987,0.50019,0.203201
Acceptable,0.764441,5,0.015931,0.894013,0.005278,0.022342,0.004702
Unacceptable,-0.832548,1,0.613719,0.020491,0.042014,0.25016,0.378596
